title,link
Fantastic Beasts: The Secrets of Dumbledore,/title/tt4123432/?ref_=sr_i_342
Hypnotic,/title/tt8080204/?ref_=sr_i_343
Armageddon,/title/tt0120591/?ref_=sr_i_344
Tombstone,/title/tt0108358/?ref_=sr_i_345
Pretty Woman,/title/tt0100405/?ref_=sr_i_346
Her,/title/tt1798709/?ref_=sr_i_347
Project X,/title/tt1636826/?ref_=sr_i_348
Drive,/title/tt0780504/?ref_=sr_i_349
The Tiger's Apprentice,/title/tt5834410/?ref_=sr_i_350
The Green Mile,/title/tt0120689/?ref_=sr_i_351
Romeo + Juliet,/title/tt0117509/?ref_=sr_i_352
Thirteen,/title/tt0328538/?ref_=sr_i_353
Fiddler on the Roof,/title/tt0067093/?ref_=sr_i_354
Triangle of Sadness,/title/tt7322224/?ref_=sr_i_355
The Covenant,/title/tt4873118/?ref_=sr_i_356
The Running Man,/title/tt0093894/?ref_=sr_i_357
20 Days in Mariupol,/title/tt24082438/?ref_=sr_i_358
Constantine 2,/title/tt1071873/?ref_=sr_i_359
Spirited Away,/title/tt0245429/?ref_=sr_i_360
Imaginary,/title/tt26658104/?ref_=sr_i_361
Fried Green Tomatoes,/title/tt0101921/?ref_=sr_i_362
The Lion King,/title/tt0110357/?ref_=sr_i_363
Badland Hunters,/title/tt29722855/?ref_=sr_i_364
Deep Water,/title/tt2180339/?ref_=sr_i_365
Made in Italy,/title/tt9207700/?ref_=sr_i_366
Harry Potter and the Goblet of Fire,/title/tt0330373/?ref_=sr_i_367
Hidden Figures,/title/tt4846340/?ref_=sr_i_368
A Clockwork Orange,/title/tt0066921/?ref_=sr_i_369
Blue Beetle,/title/tt9362930/?ref_=sr_i_370
Beautiful Disaster,/title/tt2316548/?ref_=sr_i_371
Don't Look Up,/title/tt11286314/?ref_=sr_i_372
365 Days,/title/tt10886166/?ref_=sr_i_373
Star Wars: Episode IV - A New Hope,/title/tt0076759/?ref_=sr_i_374
Under the Skin,/title/tt1441395/?ref_=sr_i_375
The Big Country,/title/tt0051411/?ref_=sr_i_376
Jumanji: Welcome to the Jungle,/title/tt2283362/?ref_=sr_i_377
Bad Boys 4,/title/tt4919268/?ref_=sr_i_378
Just Go with It,/title/tt1564367/?ref_=sr_i_379
The Ballad of Buster Scruggs,/title/tt6412452/?ref_=sr_i_380
BC Project,/title/tt30144839/?ref_=sr_i_381
Nosferatu,/title/tt5040012/?ref_=sr_i_382
Sonic the Hedgehog 3,/title/tt18259086/?ref_=sr_i_383
From Dusk Till Dawn,/title/tt0116367/?ref_=sr_i_384
BlackBerry,/title/tt21867434/?ref_=sr_i_385
City of God,/title/tt0317248/?ref_=sr_i_386
The End We Start From,/title/tt21810682/?ref_=sr_i_387
Leviathan,/title/tt0097737/?ref_=sr_i_388
The Crow,/title/tt0109506/?ref_=sr_i_389
The Little Mermaid,/title/tt5971474/?ref_=sr_i_390
The Terminator,/title/tt0088247/?ref_=sr_i_391
Ted,/title/tt1637725/?ref_=sr_i_392
Saw X,/title/tt21807222/?ref_=sr_i_393
Dogma,/title/tt0120655/?ref_=sr_i_394
The Northman,/title/tt11138512/?ref_=sr_i_395
Kingdom of Heaven,/title/tt0320661/?ref_=sr_i_396
A Quiet Place,/title/tt6644200/?ref_=sr_i_397
Terminator 2: Judgment Day,/title/tt0103064/?ref_=sr_i_398
The Usual Suspects,/title/tt0114814/?ref_=sr_i_399
2001: A Space Odyssey,/title/tt0062622/?ref_=sr_i_400
The Animal Kingdom,/title/tt16606592/?ref_=sr_i_401
Article 370,/title/tt30970235/?ref_=sr_i_402
Scarface,/title/tt0086250/?ref_=sr_i_403
Haikyu!! The Movie: Decisive Battle at the Garbage Dump,/title/tt30476486/?ref_=sr_i_404
Self Reliance,/title/tt26084002/?ref_=sr_i_405
The Incredibles,/title/tt0317705/?ref_=sr_i_406
Captain America: Brave New World,/title/tt14513804/?ref_=sr_i_407
Alien: Romulus,/title/tt18412256/?ref_=sr_i_408
Promising Young Woman,/title/tt9620292/?ref_=sr_i_409
Io Capitano,/title/tt14225838/?ref_=sr_i_410
Not Another Teen Movie,/title/tt0277371/?ref_=sr_i_411
Les Misérables,/title/tt1707386/?ref_=sr_i_412
Eternals,/title/tt9032400/?ref_=sr_i_413
The Thing,/title/tt0084787/?ref_=sr_i_414
Sing 2,/title/tt6467266/?ref_=sr_i_415
Infinity Pool,/title/tt10365998/?ref_=sr_i_416
Aquaman,/title/tt1477834/?ref_=sr_i_417
Mission: Impossible - Fallout,/title/tt4912910/?ref_=sr_i_418
Eileen,/title/tt5198890/?ref_=sr_i_419
Donnie Darko,/title/tt0246578/?ref_=sr_i_420
Lethal Weapon 5,/title/tt16101924/?ref_=sr_i_421
The Handmaiden,/title/tt4016934/?ref_=sr_i_422
Dead Poets Society,/title/tt0097165/?ref_=sr_i_423
American Pie,/title/tt0163651/?ref_=sr_i_424
Cool Hand Luke,/title/tt0061512/?ref_=sr_i_425
The Shining,/title/tt0081505/?ref_=sr_i_426
The Big Short,/title/tt1596363/?ref_=sr_i_427
Apocalypse Now,/title/tt0078788/?ref_=sr_i_428
IF,/title/tt11152168/?ref_=sr_i_429
Jack Reacher,/title/tt0790724/?ref_=sr_i_430
Kingsman: The Secret Service,/title/tt2802144/?ref_=sr_i_431
Spider-Man: Into the Spider-Verse,/title/tt4633694/?ref_=sr_i_432
Dark Harvest,/title/tt9204328/?ref_=sr_i_433
Tropic Thunder,/title/tt0942385/?ref_=sr_i_434
Mystic River,/title/tt0327056/?ref_=sr_i_435
No Time to Die,/title/tt2382320/?ref_=sr_i_436
Moana,/title/tt3521164/?ref_=sr_i_437
The Bikeriders,/title/tt21454134/?ref_=sr_i_438
1917,/title/tt8579674/?ref_=sr_i_439
Call Me by Your Name,/title/tt5726616/?ref_=sr_i_440
The Devil's Advocate,/title/tt0118971/?ref_=sr_i_441
There Will Be Blood,/title/tt0469494/?ref_=sr_i_442
The Revenant,/title/tt1663202/?ref_=sr_i_443
Expend4bles,/title/tt3291150/?ref_=sr_i_444
Ford v Ferrari,/title/tt1950186/?ref_=sr_i_445
Hook,/title/tt0102057/?ref_=sr_i_446
The Book of Clarence,/title/tt22866358/?ref_=sr_i_447
Inside Out 2,/title/tt22022452/?ref_=sr_i_448
Baby Driver,/title/tt3890160/?ref_=sr_i_449
The Nice Guys,/title/tt3799694/?ref_=sr_i_450
X-Men Origins: Wolverine,/title/tt0458525/?ref_=sr_i_451
The Bridge Curse: Ritual,/title/tt21962086/?ref_=sr_i_452
Megalopolis,/title/tt10128846/?ref_=sr_i_453
A Knight's Tale,/title/tt0183790/?ref_=sr_i_454
Guardians of the Galaxy,/title/tt2015381/?ref_=sr_i_455
Role Play,/title/tt12964320/?ref_=sr_i_456
EuroTrip,/title/tt0356150/?ref_=sr_i_457
X-Men: First Class,/title/tt1270798/?ref_=sr_i_458
Star Wars: Episode I - The Phantom Menace,/title/tt0120915/?ref_=sr_i_459
Avatar,/title/tt0499549/?ref_=sr_i_460
Eastern Promises,/title/tt0765443/?ref_=sr_i_461
Fall,/title/tt15325794/?ref_=sr_i_462
Fair Play,/title/tt16304446/?ref_=sr_i_463
After Everything,/title/tt15334488/?ref_=sr_i_464
Ex Machina,/title/tt0470752/?ref_=sr_i_465
Fantastic Four,/title/tt1502712/?ref_=sr_i_466
Kung Fu Panda,/title/tt0441773/?ref_=sr_i_467
Iron Man,/title/tt0371746/?ref_=sr_i_468
Office Space,/title/tt0151804/?ref_=sr_i_469
A Serbian Film,/title/tt1273235/?ref_=sr_i_470
The Florida Project,/title/tt5649144/?ref_=sr_i_471
Jumanji,/title/tt0113497/?ref_=sr_i_472
Thor: Love and Thunder,/title/tt10648342/?ref_=sr_i_473
Fallen Leaves,/title/tt21027780/?ref_=sr_i_474
Where the Crawdads Sing,/title/tt9411972/?ref_=sr_i_475
The Truman Show,/title/tt0120382/?ref_=sr_i_476
Ferris Bueller's Day Off,/title/tt0091042/?ref_=sr_i_477
